CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
Gene id,Compound,,Gene id,Compound,,Gene id,Compound,,Gene id,Compound
ADGRA3,5H4,,ADRA2B,2E1,,ADGRB3,1D9,,ACKR2,1H12
ADORA1,10B10,,ADRA2B,2E7,,ADGRB3,2E9,,ACKR2,1H6
BDKRB2,4G10,,ADRA2B,2F1,,ADGRD1,2D6,,ACKR2,2A6
BDKRB2,4G11,,ADRA2B,2F7,,ADGRD2,1F7,,ACKR2,2C6
CCKAR,10A4,,ADRA2B,2G1,,ADGRD2,3B7,,ACKR2,2D6
CCKAR,10A8,,ADRA2B,2G7,,ADGRD2,1F9,,ACKR2,2H12
CCKAR,9F1,,ADRA2B,2E4,,ADGRD2,3B9,,ACKR2,3A6
CCKAR,9F12,,ADRA2B,2E10,,ADGRD2,1F11,,ACKR2,3B6
CCKAR,9F2,,ADRA2B,2F4,,ADGRD2,3B11,,ACKR2,2B12
CCKAR,9F3,,ADRA2B,2F10,,ADGRE1,1A8,,ACKR2,2C12
CCKAR,9F8,,ADRA2B,2G4,,ADGRE1,1A6,,ACKR2,3A12
CXCR4,9E6,,ADRA2B,2G10,,ADGRE1,1A12,,ACKR2,1G12
CXCR4,9E7,,CCKAR,6D4,,ADGRE1,1G6,,ADGRF4,1G1
FZD8,9C10,,CCKAR,6G4,,ADGRE1,2B6,,ADGRF4,2B1
FZD8,9C11,,CCKAR,7B4,,ADGRE1,2C6,,ADGRF4,2C7
GABBR2,3F7,,CCKAR,7E4,,ADGRE1,1A2,,ADGRF4,2D1
GABBR2,3F9,,CCKAR,6D5,,ADGRE1,2B8,,ADGRF4,1G2
GABBR2,6C7,,CCKAR,6G5,,ADGRE1,1B12,,ADGRF4,1H8
GABBR2,6C9,,CCKAR,7B5,,ADGRE1,1G12,,ADGRF4,2A2
GABBR2,6F7,,CCKAR,7E5,,ADGRE1,1H6,,ADGRF4,2B2
GABBR2,6F9,,CCKAR,6D6,,ADGRE1,1H12,,ADGRF4,2C8
GRM5,10C9,,CCKAR,6G6,,ADGRE1,2B12,,ADGRF4,2D2
GRM5,10D1,,CCKAR,7B6,,ADGRE1,1B2,,ADGRF4,1G6
GRM5,1E2,,CCKAR,7E6,,ADGRE1,1G8,,ADGRF4,1H12
GRM5,1E6,,GPR179,11A6,,ADGRE1,1H2,,ADGRF4,2A6
LGR6,1G5,,GPR27,1B2,,ADGRE1,2C2,,ADGRF4,2B6
LGR6,1H5,,GPR27,1E2,,ADGRE1,1B6,,ADGRF4,2C12
LGR6,2A5,,GPR27,1H2,,ADGRE1,2C12,,ADGRF4,2D6
LPAR1,1E6,,GPR27,1B3,,ADGRE1,1B8,,ADGRF4,2A1
LPAR1,2C6,,GPR27,1E3,,ADGRE1,1G2,,ADGRF4,1H7
LPAR3,11E3,,GPR27,1H3,,ADGRE1,2B2,,ADGRL4,1B12
MAS1L,3E11,,GPR32,6D6,,ADGRF3,3A10,,ADGRL4,2C12
NPY5R,1E5,,GPR32,6G6,,ADGRF3,1H10,,ADGRL4,1B8
NPY5R,8A11,,GPR32,7B6,,ADGRF3,2C10,,ADGRL4,2C8
NPY5R,8A12,,GPR63,7G8,,ADGRF3,3A8,,ADGRL4,1E12
OPRL1,2E1,,GPR63,3F8,,ADGRF3,2C8,,ADGRL4,1E8
OPRL1,2E2,,GPR63,9B8,,ADGRF3,1H8,,ADGRV1,6B2
OR10Q1,10A4,,GPR63,9C12,,ADGRL2,2H3,,ADGRV1,6C8
OR10Q1,10A8,,GRM5,9B11,,ADGRL2,2H6,,ADORA2B,6G1
OR10Q1,10B4,,GRM5,9F5,,ADGRL3,7A8,,ADORA2B,6G7
OR10Q1,11E6,,GRM5,9F9,,ADGRL3,7D8,,ADORA2B,7A7
OR10Q1,11F2,,GRM5,9G9,,ADORA1,1E4,,ADORA2B,7H1
OR2I1P,6E11,,GRM5,9H1,,ADORA1,1F4,,ADORA2B,6G3
OR2I1P,6E12,,GRM5,9E7,,ADORA1,1E10,,ADORA2B,6G9
OR2I1P,6E7,,HCAR3,1A5,,ADRA2C,1B3,,ADORA2B,7A3
OR2I1P,6E9,,HCAR3,1B5,,ADRA2C,1E3,,ADORA2B,7A9
OR2I1P,7C11,,NPY5R,9G12,,ADRA2C,1F3,,ADORA2B,7H3
OR2I1P,7C12,,NTSR1,9A3,,ADRA2C,2C3,,ADORA2B,7H9
OR2I1P,7C7,,NTSR1,9A7,,ADRA2C,1E1,,ADORA2B,3F3
OR2I1P,7C9,,NTSR1,9C11,,ADRA2C,2C1,,ADORA2B,3F9
OR2I1P,7F11,,NTSR1,9D3,,ADRA2C,1B2,,ADORA2B,6G4
OR2I1P,7F12,,NTSR1,9E3,,ADRA2C,1E2,,ADORA2B,6G10
OR2I1P,7F7,,NTSR1,9E7,,ADRA2C,1F2,,ADORA2B,7A4
OR2I1P,7F9,,OR2T5,1C10,,ADRA2C,2C2,,ADORA2B,7A10
OR4D2,1B3,,OR2T5,2G10,,ADRA2C,1B9,,ADORA2B,7H4
OR4D2,1H3,,OR5AR1,1D9,,ADRA2C,1C3,,ADORA2B,3F10
OR5B12,3E4,,OR5AR1,1F3,,ADRA2C,1E9,,ADORA2B,3F7
OR5B12,3E5,,OR5AR1,2E3,,ADRA2C,2D3,,ADORA2B,7H10
OR5B12,3F10,,OR5AR1,2E9,,ADRA2C,1B4,,ADORA2B,3F4
OR5B12,3F11,,OR5AR1,2F3,,ADRA2C,1B10,,ADORA2B,7A1
OR5B12,6G10,,OR5AR1,2G3,,ADRA2C,1C4,,ADORA2B,7H7
OR5B12,6G11,,OR5AR1,1D4,,ADRA2C,1E4,,ADORA2B,3F1
OR5B12,6H4,,OR5AR1,1D10,,ADRA2C,1F4,,ADRA1A,1D1
OR5B12,6H5,,OR5AR1,1E4,,ADRA2C,2C4,,ADRA1A,1D4
OR5B12,7A10,,OR5AR1,1F4,,ADRA2C,2D4,,ADRA1A,1D5
OR5B12,7A11,,OR5AR1,1D3,,ADRA2C,1B5,,ADRA1A,1D6
OR5B12,7B10,,OR5AR1,1E3,,ADRA2C,1E5,,CCR8,2G7
OR5B12,7B11,,OR5AR1,2E4,,ADRA2C,2C5,,CCR8,3B7
OR5B12,7C4,,OR5AR1,2E10,,ADRA2C,1B6,,CCR8,2G12
OR5B12,7C5,,OR5AR1,2F4,,ADRA2C,1E6,,CCR8,3B12
OR5B12,7D10,,OR5AR1,2G4,,ADRA2C,1F6,,CMKLR2,2D1
OR5B12,7D11,,ORZT29,7D5,,ADRA2C,2C6,,CMKLR2,1C1
OR5B12,7H10,,ORZT29,7D11,,ADRA2C,1B1,,CNR2,2E9
OR5B12,7H11,,ORZT29,7G5,,ADRA2C,1F1,,CNR2,2B9
SSTR4,4C2,,ORZT29,7G11,,ADRA2C,2D1,,CNR2,2H9
TAAR8,7C1,,OXTR,1D1,,ADRA2C,1B8,,CNR2,2B10
TAAR8,7C2,,OXTR,2B1,,ADRA2C,1C2,,CNR2,2H10
TAAR8,7C3,,OXTR,1D3,,ADRA2C,2D2,,CNR2,2E10
TAAR8,7C4,,OXTR,2B3,,ADRA2C,2C9,,CXCR2,2A11
TAAR8,7C5,,,,,ADRA2C,1E10,,CXCR2,3B11
TAAR8,7C6,,,,,ADRA2C,2C10,,CXCR2,2A12
TAAR8,7D1,,,,,ADRA2C,1F5,,CXCR2,2G11
TAAR8,7D2,,,,,ADRA2C,2D5,,CXCR2,3B12
TAAR8,7D3,,,,,ADRA2C,1B12,,CXCR2,2G12
TAAR8,7D4,,,,,ADRA2C,1C6,,DRD3,7D5
TAAR8,7D5,,,,,ADRA2C,1E12,,DRD3,7A4
TAAR8,7D6,,,,,ADRA2C,2D6,,DRD3,7A5
TAS2R30,2A12,,,,,ADRA2C,1B7,,DRD3,6F5
TAS2R30,3B12,,,,,ADRA2C,1C1,,DRD3,3F5
,,,,,,ADRA2C,1E8,,DRD3,7D4
,,,,,,ADRA2C,2C8,,DRD3,3F4
,,,,,,ADRA2C,1B11,,DRD3,6F4
,,,,,,ADRA2C,1C5,,FFAR2,4E10
,,,,,,ADRA2C,1E11,,FFAR2,4H10
,,,,,,ADRA2C,2C11,,FFAR2,5F10
,,,,,,ADRA2C,2C12,,FFAR2,3C10
,,,,,,ADRA2C,2C7,,FFAR2,4E11
,,,,,,ADRA2C,1E7,,FFAR2,4H11
,,,,,,BDKRB1,3B8,,FFAR2,5F11
,,,,,,BDKRB1,2H7,,FFAR2,3C11
,,,,,,BDKRB1,3B7,,FFAR4,1A7
,,,,,,BDKRB1,2A8,,FFAR4,1B1
,,,,,,BDKRB1,2H8,,FFAR4,1B7
,,,,,,BDKRB1,3A8,,FFAR4,1D7
,,,,,,BDKRB1,3A7,,FFAR4,1E1
,,,,,,BDKRB1,1G8,,FFAR4,1F1
,,,,,,BDKRB1,1G7,,FFAR4,2E7
,,,,,,BDKRB1,2A7,,FFAR4,2F1
,,,,,,BDKRB1,1H8,,FFAR4,2F7
,,,,,,BDKRB1,1H7,,FFAR4,2G1
,,,,,,CXCR1,3E1,,FFAR4,2G7
,,,,,,CXCR1,3E5,,FFAR4,2H7
,,,,,,CXCR4,1F8,,FFAR4,3A1
,,,,,,CXCR4,1F7,,FFAR4,3A7
,,,,,,FSHR,3B6,,FFAR4,3B1
,,,,,,FZD1,1D5,,FFAR4,3B7
,,,,,,FZD1,1D11,,FFAR4,1A8
,,,,,,FZD1,1H5,,FFAR4,1B2
,,,,,,FZD1,2C5,,FFAR4,1B8
,,,,,,FZD1,1E5,,FFAR4,1C2
,,,,,,FZD1,1G5,,FFAR4,1C8
,,,,,,FZD1,1G11,,FFAR4,1D8
,,,,,,FZD1,2B5,,FFAR4,1E2
,,,,,,FZD1,2B11,,FFAR4,1E8
,,,,,,FZD1,1E11,,FFAR4,1F2
,,,,,,FZD1,1H11,,FFAR4,1F8
,,,,,,FZD1,2C11,,FFAR4,2E8
,,,,,,GLP2R,6H6,,FFAR4,2F2
,,,,,,GPBAR1,2F9,,FFAR4,2F8
,,,,,,GPBAR1,1E9,,FFAR4,2G2
,,,,,,GPBAR1,1B9,,FFAR4,2G8
,,,,,,GPBAR1,1H9,,FFAR4,2H8
,,,,,,GPBAR1,2F11,,FFAR4,3A2
,,,,,,GPBAR1,1E12,,FFAR4,3A8
,,,,,,GPBAR1,1E11,,FFAR4,3B2
,,,,,,GPBAR1,1H11,,FFAR4,3B8
,,,,,,GPBAR1,1B12,,FFAR4,1A11
,,,,,,GPBAR1,1H12,,FFAR4,1B5
,,,,,,GPBAR1,2F12,,FFAR4,1B11
,,,,,,GPBAR1,1E8,,FFAR4,1C5
,,,,,,GPBAR1,1B11,,FFAR4,1C11
,,,,,,GPBAR1,1B8,,FFAR4,1D11
,,,,,,GPBAR1,2F8,,FFAR4,1E5
,,,,,,GPR132,1B1,,FFAR4,1E11
,,,,,,GPR132,1D1,,FFAR4,1F5
,,,,,,GPR132,1D7,,FFAR4,1F11
,,,,,,GPR132,1E1,,FFAR4,2E11
,,,,,,GPR132,1H1,,FFAR4,2F5
,,,,,,GPR132,2C1,,FFAR4,2F11
,,,,,,GPR132,2F1,,FFAR4,2G5
,,,,,,GPR132,2H1,,FFAR4,2G11
,,,,,,GPR132,2H7,,FFAR4,2H11
,,,,,,GPR132,3A1,,FFAR4,3A5
,,,,,,GPR132,1B2,,FFAR4,3A11
,,,,,,GPR132,1D2,,FFAR4,3B5
,,,,,,GPR132,1D8,,FFAR4,3B11
,,,,,,GPR132,1E2,,FFAR4,1A12
,,,,,,GPR132,1E8,,FFAR4,1B6
,,,,,,GPR132,1F2,,FFAR4,1B12
,,,,,,GPR132,1H2,,FFAR4,1D12
,,,,,,GPR132,2C2,,FFAR4,1E6
,,,,,,GPR132,2F2,,FFAR4,1E12
,,,,,,GPR132,2H2,,FFAR4,1F6
,,,,,,GPR132,2H8,,FFAR4,1F12
,,,,,,GPR132,3A2,,FFAR4,2E12
,,,,,,GPR132,3A8,,FFAR4,2F6
,,,,,,GPR132,3B2,,FFAR4,2F12
,,,,,,GPR132,1A4,,FFAR4,2G6
,,,,,,GPR132,1A10,,FFAR4,2G12
,,,,,,GPR132,1B4,,FFAR4,2H12
,,,,,,GPR132,1B10,,FFAR4,3A6
,,,,,,GPR132,1C4,,FFAR4,3A12
,,,,,,GPR132,1D4,,FFAR4,3B6
,,,,,,GPR132,1D10,,FFAR4,3B12
,,,,,,GPR132,1E4,,FFAR4,1E7
,,,,,,GPR132,1E10,,FFAR4,1F7
,,,,,,GPR132,1F4,,FFAR4,1C6
,,,,,,GPR132,1G4,,FFAR4,1C12
,,,,,,GPR132,1G10,,FFAR4,1C1
,,,,,,GPR132,1H4,,FFAR4,1C7
,,,,,,GPR132,1H10,,GPR176,2B9
,,,,,,GPR132,2A4,,GPR176,2B7
,,,,,,GPR132,2B4,,GPR176,2D9
,,,,,,GPR132,2B10,,GPR176,2H9
,,,,,,GPR132,2C4,,GPR176,2D7
,,,,,,GPR132,2C10,,GPR176,2H7
,,,,,,GPR132,2D4,,GPR176,3B9
,,,,,,GPR132,2E4,,GPR176,3B7
,,,,,,GPR132,2E10,,GPR179,3B3
,,,,,,GPR132,2F4,,GPR50,2F8
,,,,,,GPR132,2F10,,GPR50,2C8
,,,,,,GPR132,2G4,,GPR52,1A9
,,,,,,GPR132,2H4,,GPR52,1B3
,,,,,,GPR132,2H10,,GPR52,2D3
,,,,,,GPR132,3A4,,GPR52,1G8
,,,,,,GPR132,3A10,,GPR52,1H2
,,,,,,GPR132,3B4,,GPR52,2B8
,,,,,,GPR132,1B5,,GPR52,1C3
,,,,,,GPR132,1D5,,GPR52,1C9
,,,,,,GPR132,1D11,,GPR52,1D9
,,,,,,GPR132,1E5,,GPR52,1G9
,,,,,,GPR132,1H5,,GPR52,1H3
,,,,,,GPR132,2C5,,GPR52,2A3
,,,,,,GPR132,2F5,,GPR52,2A9
,,,,,,GPR132,2H5,,GPR52,2B9
,,,,,,GPR132,2H11,,GPR52,2C3
,,,,,,GPR132,3A5,,GPR52,1A10
,,,,,,GPR132,1B6,,GPR52,1B4
,,,,,,GPR132,1D6,,GPR52,2B10
,,,,,,GPR132,1D12,,GPR52,2C4
,,,,,,GPR132,1E6,,GPR52,2D4
,,,,,,GPR132,1E12,,GPR52,2D10
,,,,,,GPR132,1F6,,GPR52,1G11
,,,,,,GPR132,1H6,,GPR52,1H5
,,,,,,GPR132,2C6,,GPR52,2A11
,,,,,,GPR132,2F6,,GPR52,2B11
,,,,,,GPR132,2H6,,GPR52,2D5
,,,,,,GPR132,2H12,,GPR52,2B12
,,,,,,GPR132,3A6,,GPR52,1A7
,,,,,,GPR132,3A12,,GPR52,1B1
,,,,,,GPR132,3B6,,GPR52,1H1
,,,,,,GPR132,1A1,,GPR52,2B7
,,,,,,GPR132,1A7,,GPR52,2C1
,,,,,,GPR132,1E7,,GPR52,2D1
,,,,,,GPR132,1F1,,GPR52,1A8
,,,,,,GPR132,1G1,,GPR52,1B2
,,,,,,GPR132,1G7,,GPR52,1C2
,,,,,,GPR132,1H7,,GPR52,1D8
,,,,,,GPR132,2A1,,GPR52,2A2
,,,,,,GPR132,2B1,,GPR52,2A8
,,,,,,GPR132,2B7,,GPR52,2C2
,,,,,,GPR132,2C7,,GPR52,2D2
,,,,,,GPR132,2D1,,GPR52,2D8
,,,,,,GPR132,2E1,,GPR52,1E3
,,,,,,GPR132,2E7,,GPR52,1F3
,,,,,,GPR132,2F7,,GPR52,1F9
,,,,,,GPR132,2G1,,GPR52,2D9
,,,,,,GPR132,3A7,,GPR52,1C4
,,,,,,GPR132,3B1,,GPR52,1E4
,,,,,,GPR132,1A2,,GPR52,1F4
,,,,,,GPR132,1A8,,GPR52,1F10
,,,,,,GPR132,1B8,,GPR52,1H4
,,,,,,GPR132,1C2,,GPR52,2A4
,,,,,,GPR132,1G2,,GPR52,1A11
,,,,,,GPR132,1G8,,GPR52,1B5
,,,,,,GPR132,1H8,,GPR52,1C11
,,,,,,GPR132,2A2,,GPR52,1D11
,,,,,,GPR132,2B2,,GPR52,1F5
,,,,,,GPR132,2B8,,GPR52,2A5
,,,,,,GPR132,2C8,,GPR52,2C5
,,,,,,GPR132,2D2,,GPR52,2D11
,,,,,,GPR132,2E2,,GPR52,1A12
,,,,,,GPR132,2E8,,GPR52,1B6
,,,,,,GPR132,2F8,,GPR52,1G12
,,,,,,GPR132,2G2,,GPR52,1H6
,,,,,,GPR132,1A5,,GPR52,2A12
,,,,,,GPR132,1A11,,GPR52,2C6
,,,,,,GPR132,1E11,,GPR52,2D6
,,,,,,GPR132,1F5,,GPR52,2D12
,,,,,,GPR132,1G5,,GPR52,2D7
,,,,,,GPR132,1G11,,GPR52,1C8
,,,,,,GPR132,1H11,,GPR52,1E2
,,,,,,GPR132,2A5,,GPR52,1F2
,,,,,,GPR132,2B5,,GPR52,1F8
,,,,,,GPR132,2B11,,GPR52,1C10
,,,,,,GPR132,2C11,,GPR52,1D10
,,,,,,GPR132,2D5,,GPR52,1G10
,,,,,,GPR132,2E5,,GPR52,2A10
,,,,,,GPR132,2E11,,GPR52,1C5
,,,,,,GPR132,2F11,,GPR52,1E5
,,,,,,GPR132,2G5,,GPR52,1F11
,,,,,,GPR132,3A11,,GPR52,1C6
,,,,,,GPR132,3B5,,GPR52,1C12
,,,,,,GPR132,1A6,,GPR52,1D12
,,,,,,GPR132,1A12,,GPR52,1F6
,,,,,,GPR132,1B12,,GPR52,2A6
,,,,,,GPR132,1C6,,GPR52,1D7
,,,,,,GPR132,1G6,,GPR52,1E1
,,,,,,GPR132,1G12,,GPR52,1F1
,,,,,,GPR132,1H12,,GPR52,1G7
,,,,,,GPR132,2A6,,GPR52,1E6
,,,,,,GPR132,2B6,,GPR52,1F12
,,,,,,GPR132,2B12,,GPR52,1C1
,,,,,,GPR132,2C12,,GPR52,1C7
,,,,,,GPR132,2D6,,GPR52,1F7
,,,,,,GPR132,2E6,,GPR52,2A1
,,,,,,GPR132,2E12,,GPR52,2A7
,,,,,,GPR132,2F12,,GPRC5A,1G1
,,,,,,GPR132,2G6,,GPRC5D,1G11
,,,,,,GPR132,1B7,,GPRC5D,1G5
,,,,,,GPR132,1C1,,GPRC5D,2A11
,,,,,,GPR132,1B11,,GPRC5D,2B11
,,,,,,GPR132,1C5,,GPRC5D,1G6
,,,,,,GPR20,1A1,,GPRC5D,2D12
,,,,,,GPR20,1A7,,GPRC5D,1D11
,,,,,,GPR20,1C7,,GPRC5D,2E5
,,,,,,GPR20,1G1,,GPRC5D,2E11
,,,,,,GPR20,1G7,,GPRC5D,1D6
,,,,,,GPR20,1H7,,GPRC5D,1D5
,,,,,,GPR20,2A1,,GPRC5D,1F11
,,,,,,GPR20,2A7,,GPRC5D,2B5
,,,,,,GPR20,2B1,,GPRC5D,2D11
,,,,,,GPR20,2B7,,GPRC5D,1F12
,,,,,,GPR20,2C7,,GPRC5D,2A12
,,,,,,GPR20,2D1,,GPRC5D,2E6
,,,,,,GPR20,2D7,,GPRC5D,2E12
,,,,,,GPR20,2E1,,GPRC5D,2G11
,,,,,,GPR20,2E7,,GPRC5D,1D12
,,,,,,GPR20,2F7,,GPRC5D,1G12
,,,,,,GPR20,2G1,,GPRC5D,2B6
,,,,,,GPR20,2G7,,GPRC5D,2B12
,,,,,,GPR20,1A2,,GPRC5D,2G12
,,,,,,GPR20,1A8,,GRM3,2E3
,,,,,,GPR20,1B8,,GRM3,2F9
,,,,,,GPR20,1C2,,GRM3,2G9
,,,,,,GPR20,1C8,,GRM3,2H3
,,,,,,GPR20,1G2,,GRM3,3A9
,,,,,,GPR20,1G8,,GRM3,3B9
,,,,,,GPR20,1H8,,GRM3,2E1
,,,,,,GPR20,2A2,,GRM3,2H1
,,,,,,GPR20,2A8,,GRM3,2E6
,,,,,,GPR20,2B2,,GRM3,2H6
,,,,,,GPR20,2B8,,GRM3,2F7
,,,,,,GPR20,2C8,,GRM3,2G7
,,,,,,GPR20,2D2,,GRM3,3A7
,,,,,,GPR20,2D8,,GRM3,3B7
,,,,,,GPR20,2E2,,GRM3,2F12
,,,,,,GPR20,2E8,,GRM3,2G12
,,,,,,GPR20,2F8,,GRM3,3A12
,,,,,,GPR20,2G2,,GRM3,3B12
,,,,,,GPR20,2G8,,GRM6,6A9
,,,,,,GPR20,1A3,,GRM6,7B3
,,,,,,GPR20,1A9,,GRM6,7B4
,,,,,,GPR20,1B9,,GRM6,6A11
,,,,,,GPR20,1C3,,GRM6,6D11
,,,,,,GPR20,1C9,,GRM6,6G5
,,,,,,GPR20,1G3,,GRM6,7B5
,,,,,,GPR20,1G9,,GRM6,7B11
,,,,,,GPR20,1H9,,GRM6,6A3
,,,,,,GPR20,2A3,,GRM6,6G3
,,,,,,GPR20,2A9,,GRM6,7B9
,,,,,,GPR20,2B3,,GRM6,6D4
,,,,,,GPR20,2B9,,GRM6,6G4
,,,,,,GPR20,2C9,,GRM6,7B10
,,,,,,GPR20,2D3,,GRM6,6A5
,,,,,,GPR20,2D9,,GRM6,6D5
,,,,,,GPR20,2E3,,GRM6,6G11
,,,,,,GPR20,2E9,,GRM6,6D3
,,,,,,GPR20,2F9,,GRM6,6G9
,,,,,,GPR20,2G3,,GRM6,6A4
,,,,,,GPR20,2G9,,GRM6,6A10
,,,,,,GPR20,1A5,,GRM6,6G10
,,,,,,GPR20,1A11,,GRM6,6D9
,,,,,,GPR20,1C11,,GRM6,6D10
,,,,,,GPR20,1G5,,GRM7,2F3
,,,,,,GPR20,1G11,,GRM7,2E3
,,,,,,GPR20,1H11,,GRM7,3B3
,,,,,,GPR20,2A5,,GRM7,1A5
,,,,,,GPR20,2A11,,GRM7,2E5
,,,,,,GPR20,2B5,,GRM7,3B5
,,,,,,GPR20,2B11,,GRM7,1A3
,,,,,,GPR20,2C11,,GRM7,1C9
,,,,,,GPR20,2D5,,GRM7,2B3
,,,,,,GPR20,2D11,,GRM7,2D3
,,,,,,GPR20,2E5,,GRM7,2D9
,,,,,,GPR20,2E11,,GRM7,2G3
,,,,,,GPR20,2F11,,GRM7,2G9
,,,,,,GPR20,2G5,,GRM7,2H3
,,,,,,GPR20,2G11,,GRM7,3B9
,,,,,,GPR20,1A6,,GRM7,1B5
,,,,,,GPR20,1A12,,GRM7,1C11
,,,,,,GPR20,1B12,,GRM7,2B5
,,,,,,GPR20,1C6,,GRM7,2D5
,,,,,,GPR20,1C12,,GRM7,2D11
,,,,,,GPR20,1G6,,GRM7,2F5
,,,,,,GPR20,1G12,,GRM7,2G5
,,,,,,GPR20,1H12,,GRM7,2G11
